id,texto,RT_Count,Favorite_Count
74,b'La experiencia no se improvisa.\nVotemos por quien SI tiene la experiencia. \n#Avancemos con @MiguelUribeT https://t.co/pOj7yDeROF',330,0
75,"b'@CRISTOVISION @Bogota @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS Colocan primero al ungido por los traficantes de la fe, pero se cumple la maxima sagrada: Los ultimos seran los primeros, jajajajaja'",2,0
76,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
77,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
78,"b'#Medellin como inspiras, que ejemplo das y como demuestras que si es posible! \nOjala mi #Bogota del alma siga sus pasos y elija a @MiguelUribeT para poder seguir avanzando !!\n#Avancemos'",196,0
79,"b'@JulianEJimenezS @julian09248923 @CRISTOVISION @Bogota @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS Miguel Uribe Turbay es el peor candidato de todos. Es pelalosista, es Uribista, es oligarca. Ese conclusion:  uno de los mismos con las mismas. Es peor de inexperto a los demas candidatos.'",0,1
80,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
81,b'De los 4 candidatos a la alcaldia de Bogota solo uno de ellos tiene la experiencia de manejar miles de millones y ademas sin que haya habido un solo peso perdido. Ese es @MiguelUribeT \n#Avancemos',109,0
82,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
83,"b'Si Bogota comete el gravisimo error de elegir a Claudia Lopez alcaldesa; la inmoralidad, la incoherencia, la decadencia familiar y el desorden estaran a la orden cada dia. Seria vergonzoso. Quienes creemos en Dios tenemos que orar para que esta senora no gane. \n@MiguelUribeT'",27,0
84,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
85,"b'@AlvaroUribeVel La mejor opcion para La Capital. Un hombre honesto, un hombre trabajador. Hay que darle el chance a @MiguelUribeT y darle el chance a #Bogota'",6,0
86,b'@JaviRomeroAmaya @MiguelUribeT https://t.co/tpGfLVZuAg\nLo que se nota es que por igualito a Turbay ... que HORROR!',0,0
87,b'Agradecemos al representante @jjUscategui por la invitacion al evento de respaldo de la Reserva Activa a la candidatura de @MiguelUribeT.\n\n!Gratitud y admiracion por esos hombres y mujeres heroicos que son el sosten de la patria y un pilar fundamental del @CeDemocratico!\n\n#CD1 https://t.co/AcOnJPT3de',192,0
88,b'@Maorodriguezgon @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS @MiguelUribeT @cazainfractor @multandoBog @BestiasDriving @DanielSamperO @manolitosalazar @RICARDOBETANCO4 @oscarfierroa @petroides @citiesforpeople @agaviriau No pasa nada las autoridades estan amangualadas',0,0
89,b'?Para usted quien debe ser el proximo alcalde de @Bogota? #DebatesCristovision @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS',464,0
90,"b'Me encanta como le estamos dando una ""patada en el culo"" a Uribe y a todos sus lavaperros como @MiguelUribeT en Bogota y sus alrededores'",6,0
91,"b'La invasion y destruccion de #AndenesParaPeatonescrean barreras infranqueables al #caminante obligado a arriesgar su vida en la carretera. ?Opiniones @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS @MiguelUribeT Seguiran guardando silencio, 4 anos mas de lo mismo? #ODS11 https://t.co/AeUATcHkbt'",33,0
92,b'La experiencia no se improvisa.\nVotemos por quien SI tiene la experiencia. \n#Avancemos con @MiguelUribeT https://t.co/pOj7yDeROF',330,0
93,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
94,"b'Tenemos el coraje y la firmeza para defender la seguridad y el desarrollo sostenible. @MiguelUribeT Alcalde, @josiasfiesco Concejo #CD18 #Avancemos https://t.co/pos8SReOkK'",69,0
95,"b'Si Bogota comete el gravisimo error de elegir a Claudia Lopez alcaldesa; la inmoralidad, la incoherencia, la decadencia familiar y el desorden estaran a la orden cada dia. Seria vergonzoso. Quienes creemos en Dios tenemos que orar para que esta senora no gane. \n@MiguelUribeT'",27,0
96,"b'Hoy entiendo que estas elecciones son determinantes\n\nYo soy mama de dos hijos y tengo algo muy claro:\n \n[?][?]LOS PARQUES SON PARA NUESTROS HIJOS, NO PARA CONSUMIR DROGAS[?][?]\n\nCreo en @MiguelUribeT porque es el unico que se opone al consumo de drogas, el defiende el futuro de mis hijos https://t.co/kwz65crF75'",194,0
97,b'?Para usted quien debe ser el proximo alcalde de @Bogota? #DebatesCristovision @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS',464,0
98,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
99,b'@ghitis @AlvaroUribeVel @MiguelUribeT Justamente por su experiencia al lado de enrique penaloza es que no votamos por miguel uribe',0,0
100,"b'?De que sirve que gobierne una mujer si termina motivando los sectores mas machistas de una sociedad como lo es el uribismo?\n\nAun si tienen al cabron de @MiguelUribeT, no pierden nada si gana @ClaudiaLopez y les hace el metro que esta anhelando. https://t.co/0S83HIYSZg'",0,0
101,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
102,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
103,"b'Atencion Bogota !  @MiguelUribeT garantizara continuar las magnificas obras q vienen realizando @EnriquePenalosa y su excelente equipo, ademas, la ejecucion de muchas mas por la prosperidad, seguridad y tranquilidad de nuestra querida Ciudad!! #Avancemos https://t.co/RZpezcziqp'",2,0
104,"b'En campana @MiguelUribeT promete tarifa diferencial para los estudiantes, pero en cuatro anos de gobierno no hicieron nada para implementar el acuerdo que ya existe. \n#Carreta #Despertemos https://t.co/gJP96caPcN'",338,0
105,"b'@MiguelUribeT Soy delfin nada lo he logrado con esfuerzo, el poder lo herede, conozco de seguridad por las historias que escuche de mi abuelo y de corrupcion, ya saben en las minimas proporciones, @HOLLMANMORRIS @ClaudiaLopez @CarlosFGalan @ManosLimpiasCo @LTNEC @Radio_par'",0,0
106,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
107,"b'@silviadlaboral @MariaUribestia @AlvaroUribeVel @MiguelUribeT Excelente??? Ehhhh no, en cabeza de su despacho le dio el beneficio de la duda al victimario de Rosa Elvira y no a la victima. De pronto bueno pero excelente NO [?]'",0,0
108,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
109,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
110,"b'En campana @MiguelUribeT promete tarifa diferencial para los estudiantes, pero en cuatro anos de gobierno no hicieron nada para implementar el acuerdo que ya existe. \n#Carreta #Despertemos https://t.co/gJP96caPcN'",338,0
111,"b'Cuando Miguelito Uribe dice que los parques deben ser para las familias y no para los jibaros, tambien esta reconociendo que como Secretario de gobierno le quedo grande garantizar lo que propone. @MiguelUribeT #Viernes13'",0,0
112,b'De los 4 candidatos a la alcaldia de Bogota solo uno de ellos tiene la experiencia de manejar miles de millones y ademas sin que haya habido un solo peso perdido. Ese es @MiguelUribeT \n#Avancemos',109,0
113,b'@andrebogotacol @MiguelUribeT La LOBOTOMIA dolio?? \nO es que hay platica de por medio..?',0,0
114,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
115,"b'@aospinaing @CRISTOVISION @GlediaCubides @Bogota @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS Quien con medio dedo de frente votaria por Miguel Uribe? Si es Penalosista, es uribista, es oligarca, es inexperto, es antiecologico, es corrupto. ?Asi o mas?'",0,1
116,"b'@Andres_Daza15 @TransMilenio @MiguelUribeT Es hasta increible, ironico, masoquista e idiota tener ese tipo de preferencias politicas y quejarse por el resultado. No quieren hacer andar la ciudad.'",0,0
117,b'@MiguelUribeT https://t.co/d6cbnkmoCI',4,0
118,"b'Acaso tenemos que elegir a alguien por ser hombre o mujer? Dejen la estupidez, la gente no vota por un genero, vota por quien esta capacitado y puede hacer bien las cosas, con mayor razon mi apoyo es para @MiguelUribeT\n\nPopulistas \n#SiUnaMujerGobernara'",81,0
119,b'@ghitis @MiguelUribeT ?Por que con Duque no miraron eso? Lo que es el poder politico del Uribismo.',0,0
120,b'@MiguelUribeT Que horror es igualito a Turbay !!! Ese mismo de lo chistes por bruto! El que formalizo la corrupcion! \nEl de los escandalos por borracho y mujeriego. \nIncreible que haya gente que apoye este adefesio.',0,0
