Texto,Sentimiento
"@CarlosFGalan Disciplinado, trabajador, esta rodeado de gente honesta y transparente, durante su carrera politica no ha tenido ni escandalos ni investigaciones de ninguna indole, ha demostrado una personalidad totalmente vertical e infranqueable,conoce la ciudad y sus problemas",0.30767124452293304
"@NanyPardo @MrGomezRamirez @CarlosFGalan @ELTIEMPO No es mucha la diferencia con Miguel Uribe, ambos Galan y el andan callados con el tema de Uribe",0.43111964575321754
"@CarlosFGalan Yo quiero calcomania, nunca me los encuentro. :!",0.09218720774266255
"Lo prometido, hoy 8 de Octubre pido a 
@CarlosFGalan y 
@MiguelUribeT
 se tomen un cafe y conversen, de ustedes depende el futuro de la ciudad, no podemos repetir la pendejada del 2011.
#SeamosSeriosConBogota
#BogotaLosNecesita
#NoMasIdeologiaDeGenero
#DefensaDeLaFamilia https://t.co/dURNTgwUsw",0.4057063836077654
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"Amado @CarlosFGalan, un millon de gracias por ayudar a elegir a @EnriquePenalosa y querer continuar su obra. Mas y mas Transmilenio por la Av. 68, la Cali y la Cra 7a. No importa que sea contaminante, indigno, caro y que enrique-zca a 13 familias. 

@HOLLMANMORRIS 
@jcuestanovoa",0.06273030643713633
"Es un hecho que la Corporacion Escuela Galan paso de recibir poco dinero del distrito a casi 11 mil millones de pesos. Y eso paso justo a dos meses de las elecciones donde uno de los candidatos es @CarlosFGalan, quien apoyo a @EnriquePenalosa. https://t.co/tC4iMOW8tT",0.04461962341697482
@CarlosFGalan Falta la entrega de manillas y listo,0.04873302195844203
"""La gente en Bogota ya no cree en el populismo"": Carlos Fernando Galan (@CarlosFGalan), candidato a la Alcaldia de la capital. 

Reviva aqui su entrevista con @NoticiasCaracol &gt;&gt;&gt; https://t.co/GTnxxUVkEw #BogotaDecide https://t.co/OG3ziTfrdL",0.0404076035779909
"Este equipo no se confia, al contrario tenemos que triplicar los esfuerzo, por eso nos vemos en las calles. Manana con toda a seguir convenciendo gente para que @CarlosFGalan sea nuestro alcalde ! El de #BogotaParaLaGente https://t.co/S1sYC15Niz",0.06555694266096176
