id,Created at,texto,hashtags,source,reply count,retweet count,favorite count,lang,user id,user id string,user screen name,user location,user verified,user followers count,user friends count,created at
184,2019-10-11 22:21:34,@Jsmurillocortes @PilsenCerveza @CervezaAguila Y nosotros buscando sponsor!,[],TweetDeck,,0,1,es,228534505,228534505,2 Minutos,"Valentin Alsina, Argentina",False,23848,4819,2010-12-20 00:51:09
185,2019-10-11 22:21:19,"@CervezaAguila Hola! No he recibido ningun inbox de parte de ustedes! Estoy pendiente, gracias.",[],Twitter Web App,,0,0,es,31846339,31846339,Karen Osorio S.,"Medellin, Colombia",False,76,430,2009-04-16 14:39:36
186,2019-10-11 21:57:29,"@CervezaAguila S
I
E
M
P
R
E.

Y a mi equipo incondicionalmente, a mi @DIM_Oficial",[],Twitter for Android,,0,0,es,191097692,191097692,Santiago Echeverri,"Medellin,Colombia",False,1063,908,2010-09-15 16:10:31
187,2019-10-11 21:44:30,@CervezaAguila Un sabor que conoci de pelao que no olvidare ,[],Twitter for iPhone,,0,0,es,349929041,349929041,_hhhh,,False,342,315,2011-08-06 23:03:08
188,2019-10-11 21:39:48,@PilsenCerveza @CervezaAguila Ah no si me respondes con una cancion de @los2minutos me terminas de matar ,[],Twitter for iPhone,,0,1,es,244662836,244662836,J. Sebastian Murillo,Bogota,False,376,1053,2011-01-29 20:58:50
189,2019-10-11 20:11:34,"Para los que ponemos la tendencia , vivimos cosas nuevas y probamos nuevas cosas, !llego la nueva #AguilaFusionLimon!

Descubre cual es tu tienda mas cercana entrando a https://t.co/vSuJA0Y6Mo !Vivela! https://t.co/E3yafEHptr",['AguilaFusionLimon'],Twitter for Android,,1,0,es,110570198,110570198,Trino Nava,,False,3930,4517,2010-02-02 00:56:20
190,2019-10-11 17:40:13,"@CervezaAguila Ombe, por supuesto https://t.co/VfEVXQGJyN",[],Twitter for Android,,0,0,es,495372749,495372749,beto DeLeon,,False,35,910,2012-02-17 22:06:38
191,2019-10-11 17:35:10,@ntvromero Vayamos alistando las frias pa' lo que se viene.,[],Twitter for Android,,1,0,es,405746502,405746502,Nazzyra Thairith,,False,216,238,2011-11-05 18:51:16
192,2019-10-11 17:16:20,"@Camo__Oficial Entonces ya sabras que para gritar con todo en el #FEP2020, hay que tener la garganta preparada... ",['FEP2020'],Twitter Web App,,1,0,es,1083197468,1083197468,Cesar Martinez,"Bogota, D.C., Colombia",False,21050,21351,2013-01-12 14:50:32
193,2019-10-11 17:13:16,@garciapovedajp @GaribelloF @reyesmjaimee @JorgeECardosoR @MoureSantiago @CervezaAguila Jajajaaja,[],Twitter for iPhone,,0,0,es,1165378618685607937,1165378618685607937,Maria camila Rodriguez rodriguez,,False,2,12,2019-08-24 21:41:57
194,2019-10-11 16:55:55,@CervezaAguila @acristofalo @juanferquinte10 Lo que genera River mundialmente no lo genera otro club argentino,[],Twitter Web App,,0,0,es,1146033523230498816,1146033523230498816,River Te Da Rating [?][?][?][?],Ciudad Autonoma de Buenos Aire,False,314,1162,2019-07-02 12:30:58
195,2019-10-11 16:54:21,"@CervezaAguila Uyuyyu todas...  Rocket Queen... Locomotive, Sweet Child O' Mine.. son como 30 canciones que estan en el SetList.. sera la 4a vez que los voy a ver.. #GunsNRoses en el #FEP2020","['GunsNRoses', 'FEP2020']",Twitter Web App,,0,1,es,1083197468,1083197468,Cesar Martinez,"Bogota, D.C., Colombia",False,21050,21351,2013-01-12 14:50:32
196,2019-10-11 16:46:03,@CervezaAguila Esta bueno pero esperaba otros artistas... la saca del estadio la cuota Colombiana VALLENATA :),[],Twitter for Android,,0,0,es,387453416,387453416,Christian Rodriguez,,False,91,549,2011-10-09 02:57:15
197,2019-10-11 16:06:35,Uno no creyera que en Colombia crearan una cerveza peor que @CervezaAguila pero llegaron los de @CervezaAndinaCo y dijeron: ?y por que no? Y se pusieron a remojar repollo.,[],Twitter Web App,,0,0,es,123414624,123414624,yo_odradek2,Medellin,False,82,59,2010-03-16 01:21:54
198,2019-10-11 16:00:28,"Sabemos que te gusta el baile y que la fiesta empieza cuando se destapa una #AguilaFusionLimon !Vivela! 

Entra a https://t.co/vSuJA1fHDW y encuentra donde conseguirla. https://t.co/9h78Pc5lld",['AguilaFusionLimon'],Twitter for iPad,,13,0,es,963213864367263744,963213864367263744,bruno navarro,"Barranquilla, Colombia",False,122,607,2018-02-13 00:50:55
199,2019-10-11 15:12:05,"Binomio de oro en #FEP2020

Mi cerebro:
No lo digas
No lo digas
No lo digas

Yo: Un osito dormilon le regale y una fria al despedirse ella me dio. ",['FEP2020'],Twitter for iPhone,,50,0,es,226185084,226185084,Naim Bojanini,"Barranquilla, Colombia",False,269,384,2010-12-13 14:55:21
200,2019-10-11 15:05:16,"@Jsmurillocortes @CervezaAguila Pilsen por este amor [?][?]. 

https://t.co/CchdDM9q3N",[],Twitter Web App,,0,1,es,262643997,262643997,CervezaPilsen,Medellin,True,22464,3370,2011-03-08 13:19:46
201,2019-10-11 15:00:16,@PilsenCerveza @CervezaAguila Te amo ,[],Twitter for iPhone,,0,1,es,244662836,244662836,J. Sebastian Murillo,Bogota,False,376,1053,2011-01-29 20:58:50
202,2019-10-11 14:59:10,@CervezaAguila @NoTeEstreses Y jamas llego ,[],Twitter for iPhone,,0,0,es,171220115,171220115,Teffy Arciniegas,Bogota D.C,False,538,3216,2010-07-26 21:12:54
203,2019-10-11 14:55:13,"@Jsmurillocortes @CervezaAguila Sos de mi clan parce, sos el mejor [?].",[],Twitter Web App,,0,1,es,262643997,262643997,CervezaPilsen,Medellin,True,22464,3370,2011-03-08 13:19:46
204,2019-10-11 13:32:10,@FreckledFatal @CervezaAguila Si se despide con frias es cangrejeada fija jajajajaj,[],Twitter for Android,,0,1,es,187581801,187581801,Zhiko,COLOMBIA,False,102,262,2010-09-06 16:38:21
205,2019-10-11 12:58:33,"Binomio de oro en #FEP2020

Mi cerebro:
No lo digas
No lo digas
No lo digas

Yo: Un osito dormilon le regale y una fria al despedirse ella me dio. ",['FEP2020'],Twitter for Android,,50,0,es,270400871,270400871,Julieta ,Colombia,False,151,113,2011-03-22 15:08:39
